sku;nome_prodotto;file_locale;url_immagine
aspiratore-professionale-da-tavolo-new;Aspiratore Professionale da Tavolo New;immagini/aspiratore-professionale-da-tavolo-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac8d23224_1.jpg
aspiratore-professionale-da-tavolo-new;Aspiratore Professionale da Tavolo New;immagini/aspiratore-professionale-da-tavolo-new/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac8d581a5_1.jpg
aspiratore-professionale-da-tavolo-new;Aspiratore Professionale da Tavolo New;immagini/aspiratore-professionale-da-tavolo-new/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac8d92748_1.jpg
punta-cono-blu-3mm;Punta Cono Blu 3mm;immagini/punta-cono-blu-3mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac9242873_1.jpg
punta-cono-blu-2mm;Punta Cono Blu 2mm;immagini/punta-cono-blu-2mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac9444ef6_1.jpg
punta-cono-cilindro-3-5mm;Punta Cono Cilindro 3.5mm;immagini/punta-cono-cilindro-3-5mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac965fd47_1.jpg
punta-sfera-blu-3mm;Punta Sfera Blu 3mm;immagini/punta-sfera-blu-3mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac9841237_1.jpg
punta-sfera-rossa-3mm;Punta Sfera Rossa 3mm;immagini/punta-sfera-rossa-3mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac9a53fb3_1.jpg
punta-fiamma-blu-2-5mm;Punta Fiamma Blu 2.5mm;immagini/punta-fiamma-blu-2-5mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac9c7ad4e_1.jpg
punta-fiamma-blu-2mm;Punta Fiamma blu 2mm;immagini/punta-fiamma-blu-2mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac9fccde1_1.jpg
punta-fiamma-blu-1-5mm;Punta Fiamma blu 1.5mm;immagini/punta-fiamma-blu-1-5mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca1dcba0_1.jpg
punta-fiamma-rossa-1-5mm;Punta Fiamma Rossa 1.5mm;immagini/punta-fiamma-rossa-1-5mm/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca3e5c8e_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca679de7_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca6b6b26_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca6f34e5_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/04.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca743f68_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/05.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca783bac_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/06.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca7bf6d3_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/07.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca818ad9_1.jpg
easy-cover-8;Easy Cover 8 - Gel Costruttore;immagini/easy-cover-8/08.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aca862d2e_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb5802fe_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb5c0a4b_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb60900d_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/04.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb64ec82_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/05.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb694266_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/06.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb6d1ad9_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/07.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb721a8f_1.jpg
easy-cover-9;Easy Cover 9 - Gel Costruttore;immagini/easy-cover-9/08.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960acb767156_1.jpg
