id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"HDN-0012","Russian Builder Soufflé 6","Russian Builder Soufflé 6 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/russian-builder-souffle-6","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/r/u/russian_b_s_6_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0013","Russian Builder Soufflé 2","Russian Builder Soufflé 2 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/russian-builder-souffle-2","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/r/u/russian_b_s_2_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0014","Russian Builder Soufflé 1","Russian Builder Soufflé 1 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/russian-builder-souffle-1","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/r/u/russian_b_s_1__1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0015","Jelly Soft Perfect Nude","Jelly Soft Perfect Nude - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/jelly-soft-perfect-nude","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/j/e/jelly_soft_nude.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0016","Jelly Ultra Glass","Jelly Ultra Glass - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/jelly-ultra-glass","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/j/e/jelly_ultra_glass_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0017","Easy Cover 25 – Gel Costruttore Autolivellante - Limited Edition","Easy Cover 25 – Gel Costruttore Autolivellante - Limited Edition - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/easy-cover-25-gel-costruttore-autolivellante-limited-edition","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_69c0b756aa365_1.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0018","Easy Cover 24 - Gel Costruttore Autolivellante - Limited Edition","Easy Cover 24 - Gel Costruttore Autolivellante - Limited Edition - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/easy-cover-24-gel-costruttore-autolivellante-limited-edition","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_69c0b6fb4d106_1.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0019","KIT Liquid Polygel Flake","KIT Liquid Polygel Flake - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","119.00 EUR","https://www.hdnails.it/kit-liquid-polygel-flake","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_69c0883558816_1_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0020","Liquid Polygel Flake 11","Liquid Polygel Flake 11 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-11","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_11.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0021","Liquid Polygel Flake 10","Liquid Polygel Flake 10 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-10","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_10.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0022","Liquid Polygel Flake 9","Liquid Polygel Flake 9 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-9","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_9.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0023","Liquid Polygel Flake 8","Liquid Polygel Flake 8 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-8","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_8.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0024","Liquid Polygel Flake 7","Liquid Polygel Flake 7 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-7","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_7.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0025","Liquid Polygel Flake 6","Liquid Polygel Flake 6 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-6","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_6.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0026","Liquid Polygel Flake 5","Liquid Polygel Flake 5 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-5","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_5_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0027","Liquid Polygel Flake 4","Liquid Polygel Flake 4 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-4","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_4.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0028","Liquid Polygel Flake 3","Liquid Polygel Flake 3 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-3","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_3.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0029","Liquid Polygel Flake 2","Liquid Polygel Flake 2 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-2","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_2.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0030","Liquid Polygel Flake 1","Liquid Polygel Flake 1 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","29.90 EUR","https://www.hdnails.it/liquid-polygel-flake-1","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/f/l/flake_1.jpg","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0031","Easy Cover 26 – Gel Costruttore Autolivellante - Limited Edition","Easy Cover 26 – Gel Costruttore Autolivellante - Limited Edition - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/easy-cover-26-gel-costruttore-autolivellante-limited-edition","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_69c08301a9d32_1.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0032","Kit Monofase Flexy 4+1 - Gel Costruttore","Kit Monofase Flexy 4+1 - Gel Costruttore - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","139.60 EUR","https://www.hdnails.it/kit-monofase-flexy-41","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c0864322ff.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0033","Monofase Flexy Cover - 10 Shimmer Milky","Monofase Flexy Cover - 10 Shimmer Milky - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-10-shimmer-milky","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c06afa05e8.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0034","Monofase Flexy Cover - 9 Shimmer Rose","Monofase Flexy Cover - 9 Shimmer Rose - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-9-shimmer-rose","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c06704188e.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0035","Monofase Flexy Cover - 8 Shimmer Nude","Monofase Flexy Cover - 8 Shimmer Nude - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-8-shimmer-nude","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c06344d07d.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0036","Monofase Flexy Cover - 7 Cover","Monofase Flexy Cover - 7 Cover - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-7-cover","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c05e37aa6e.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0037","Monofase Flexy Cover - 6 Light Pink","Monofase Flexy Cover - 6 Light Pink - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-6-light-pink","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c059dba733.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0038","Monofase Flexy Cover - 5 Milky White","Monofase Flexy Cover - 5 Milky White - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-5-milky-white","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c0549b87ba.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0039","Monofase Flexy Cover - 4 Cover Beige","Monofase Flexy Cover - 4 Cover Beige - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-4-cover-beige","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c0503c19b6.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0040","Monofase Flexy Cover - 2 Cover Pink","Monofase Flexy Cover - 2 Cover Pink - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-2-cover-pink","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c04bfd270a.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0041","Monofase Flexy Cover - 1 Cover Nude","Monofase Flexy Cover - 1 Cover Nude - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","34.90 EUR","https://www.hdnails.it/monofase-flexy-cover-1-cover-nude","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_699c04784ac32.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0042","KIT LIQUID POLYGEL REFLECTIVE","KIT LIQUID POLYGEL REFLECTIVE - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","119.80 EUR","https://www.hdnails.it/kit-liquid-polygel-reflective","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e2ce009d9.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0043","KIT UNICORN LIQUID POLYGEL","KIT UNICORN LIQUID POLYGEL - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","99.00 EUR","https://www.hdnails.it/kit-unicorn-liquid-polygel","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e233d8410.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0044","Unicorn Liquid Polygel 04","Unicorn Liquid Polygel 04 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","26.32 EUR","https://www.hdnails.it/unicorn-liquid-polygel-04","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e1aead012.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0045","Unicorn Liquid Polygel 03","Unicorn Liquid Polygel 03 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","26.32 EUR","https://www.hdnails.it/unicorn-liquid-polygel-03","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e190239cd.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0046","Unicorn Liquid Polygel 02","Unicorn Liquid Polygel 02 - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","26.32 EUR","https://www.hdnails.it/unicorn-liquid-polygel-02","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e1706e8c9.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0047","Liquid Polygel 7 - Reflective","Liquid Polygel 7 - Reflective - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/liquid-polygel-7-reflective","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e16370183.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0048","Liquid Polygel 6 - Reflective","Liquid Polygel 6 - Reflective - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/liquid-polygel-6-reflective","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e15560ccf.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0049","Liquid Polygel 5 - Reflective","Liquid Polygel 5 - Reflective - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/liquid-polygel-5-reflective","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e148e65b5.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0050","Liquid Polygel 4 - Reflective","Liquid Polygel 4 - Reflective - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/liquid-polygel-4-reflective","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e13c811e9.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
"HDN-0051","Liquid Polygel 3 - Reflective","Liquid Polygel 3 - Reflective - Gel da Ricostruzione | Prodotto professionale per unghie HDNails®","in stock","new","19.90 EUR","https://www.hdnails.it/liquid-polygel-3-reflective","https://www.hdnails.it/media/catalog/product/cache/4916658b69d7adec09a62164059f7d76/w/o/woo_img_6960e12ff2516.png","HDNails","Health & Beauty > Personal Care > Cosmetics > Nail Care"
